user_id,install_ts,country,platform,trait_skill,trait_spender_propensity,trait_ad_affinity
1,2025-12-15 22:43:00,BR,Android,-1.0369939046587182,0.10699570051287371,0.5202593231818713
2,2025-11-17 09:18:00,TR,iOS,0.4826354994557758,0.1939891727667019,0.6258684016851328
3,2025-12-21 13:55:00,GB,Android,-0.6075290409554163,0.09064941696031313,0.6541094768447535
4,2025-12-09 01:21:00,DE,iOS,-1.6490663313591984,0.24163905658276597,0.5293078032642494
5,2025-10-12 02:30:00,TR,Android,-0.2874711320558362,0.206043530613897,0.12161912701925655
6,2025-12-30 09:48:00,BR,iOS,1.3247369656272514,0.14089652696677962,0.7819524990003327
7,2025-12-14 17:12:00,US,Android,0.4607420101184635,0.45918840484033296,0.6013330699715501
8,2025-12-16 18:32:00,TR,iOS,2.017809371605892,0.2398411718660465,0.23088525264886017
9,2025-10-16 21:28:00,TR,iOS,0.17723014526811154,0.4641572433135239,0.31264918977304
10,2025-11-18 04:43:00,DE,Android,2.4478027535929074,0.2017254669602883,0.5575498735962052
11,2025-11-10 04:50:00,TR,iOS,0.17752122551705124,0.24568211371026222,0.6636905298826464
12,2025-12-26 13:00:00,TR,iOS,0.022480296153736364,0.16707453026112895,0.3803735839235248
13,2025-12-04 13:07:00,TR,Android,-1.2793900879214963,0.23034895190390578,0.6954079703171316
14,2025-12-18 00:52:00,TR,iOS,1.1105627402927678,0.38722501835008366,0.14273383704105094
15,2025-11-17 10:43:00,TR,Android,-0.5021251289404789,0.17218776670138367,0.2606758048130818
16,2025-10-27 21:32:00,US,Android,-0.647047639408727,0.38144268925591474,0.11260900455672483
17,2025-11-27 03:56:00,TR,iOS,1.281230563762572,0.13806297792315253,0.2895840330622159
18,2025-10-08 19:40:00,TR,Android,1.1582226687959571,0.37358805256714905,0.8187760708586906
19,2025-12-19 10:44:00,US,iOS,1.132051367210679,0.2023105860912016,0.8867336202728269
20,2025-12-03 12:35:00,TR,Android,-0.36219113405498116,0.39329371046142003,0.5583801276938544
21,2025-12-13 15:23:00,DE,iOS,-0.05097586530525164,0.2601630812637154,0.34560170549974506
22,2025-11-09 16:56:00,TR,iOS,-0.059854397695851456,0.5668126125837873,0.4448157471110013
23,2025-12-29 15:17:00,TR,iOS,0.7825181806723981,0.105395577960501,0.6161739585052173
