ad_ts,user_id,ad_format,ad_revenue_usd,placement
2025-12-18 10:25:00,1,rewarded,0.01209893395572998,placement_rewarded_default
2025-12-18 10:16:00,1,rewarded,0.013038657006948515,placement_rewarded_default
2025-12-18 15:00:00,1,interstitial,0.006102421161910423,placement_interstitial_default
2025-12-18 11:06:00,1,rewarded,0.012036834412888352,placement_rewarded_default
2025-12-25 05:12:00,1,rewarded,0.011050450163034808,placement_rewarded_default
2025-12-25 05:12:00,1,interstitial,0.005907129661288681,placement_interstitial_default
2025-11-17 03:41:00,2,interstitial,0.006806373581455904,placement_interstitial_default
2025-11-17 13:19:00,2,rewarded,0.009765580663578438,placement_rewarded_default
2025-11-17 13:13:00,2,interstitial,0.0051377874155086115,placement_interstitial_default
2025-11-17 01:49:00,2,rewarded,0.011827469594693465,placement_rewarded_default
2025-11-17 02:02:00,2,rewarded,0.012234822603783231,placement_rewarded_default
2025-11-17 06:46:00,2,rewarded,0.010899697046169861,placement_rewarded_default
2025-11-17 06:49:00,2,rewarded,0.012216386714178499,placement_rewarded_default
2025-11-17 06:47:00,2,rewarded,0.010363120122781904,placement_rewarded_default
2025-11-17 06:55:00,2,rewarded,0.013020882631906433,placement_rewarded_default
2025-11-17 19:20:00,2,rewarded,0.013119909872735681,placement_rewarded_default
2025-11-17 19:16:00,2,rewarded,0.010571715221355905,placement_rewarded_default
2025-11-17 19:20:00,2,rewarded,0.013248699434354316,placement_rewarded_default
2025-11-18 13:30:00,2,rewarded,0.012760035869577595,placement_rewarded_default
2025-11-18 13:32:00,2,rewarded,0.012767221164616501,placement_rewarded_default
2025-11-18 13:36:00,2,interstitial,0.005120418132871229,placement_interstitial_default
2025-11-20 16:04:00,2,rewarded,0.012486569522032186,placement_rewarded_default
2025-11-20 15:56:00,2,interstitial,0.0062197465521364416,placement_interstitial_default
2025-12-14 16:30:00,2,rewarded,0.014454921603682839,placement_rewarded_default
2025-12-14 16:33:00,2,rewarded,0.011702391877529333,placement_rewarded_default
2025-12-14 14:14:00,2,rewarded,0.01048040970351196,placement_rewarded_default
2025-12-14 14:16:00,2,rewarded,0.01072556765743353,placement_rewarded_default
2025-12-23 19:02:00,3,rewarded,0.01191658115248256,placement_rewarded_default
2025-12-23 19:09:00,3,rewarded,0.012485285705356883,placement_rewarded_default
2025-12-23 04:50:00,3,rewarded,0.012049498937768485,placement_rewarded_default
2025-12-23 04:59:00,3,rewarded,0.01195916232274275,placement_rewarded_default
2025-12-23 17:16:00,3,rewarded,0.011260571761558865,placement_rewarded_default
2025-12-23 17:28:00,3,interstitial,0.005857391727081307,placement_interstitial_default
2025-12-09 03:04:00,4,rewarded,0.012687964801800088,placement_rewarded_default
2025-12-09 02:59:00,4,rewarded,0.01167893888028052,placement_rewarded_default
2025-12-09 03:07:00,4,rewarded,0.011024014799299821,placement_rewarded_default
2025-12-09 03:48:00,4,rewarded,0.013215849746696451,placement_rewarded_default
2025-12-09 03:45:00,4,rewarded,0.013199194724061534,placement_rewarded_default
2025-12-09 14:59:00,4,rewarded,0.011541390016412257,placement_rewarded_default
2025-12-09 15:01:00,4,rewarded,0.010876145785309582,placement_rewarded_default
2025-12-09 14:58:00,4,rewarded,0.012607868715338774,placement_rewarded_default
2025-12-09 14:58:00,4,rewarded,0.011331539944281583,placement_rewarded_default
2025-12-10 23:55:00,4,rewarded,0.012649970225122594,placement_rewarded_default
2025-12-11 11:23:00,4,rewarded,0.010803111732098048,placement_rewarded_default
2025-12-11 11:16:00,4,rewarded,0.014456270852128637,placement_rewarded_default
2025-12-11 11:11:00,4,interstitial,0.006404937310898047,placement_interstitial_default
2025-10-13 23:43:00,5,interstitial,0.0064680231163594,placement_interstitial_default
2025-10-17 12:02:00,5,rewarded,0.014018329947772216,placement_rewarded_default
2025-10-17 16:18:00,5,rewarded,0.013741578441670546,placement_rewarded_default
